0	NULL
1	EINS
1.	ERSTE
10	ZEHN
11	ELF
12	ZWOELF
12.	ZWOELFTE
13	DREIZEHN
14	VIERZEHN
15	FUENFZEHN
16	SECHSZEHN
17	SIEBZEHN
18	ACHTZEHN
19	NEUNZEHN
19.	NEUNZEHNTE
2	ZWEI
2.	ZWEITE
20	ZWANZIG
2000	ZWEITAUSEND
3	DREI
3.	DRITTE
30	DREISSIG
300	DREIHUNDERT
4	VIER
40	VIERZIG
400	VIERHUNDERT
5	FUENF
5.	FUENFTE
6	SECHS
600	SECHSHUNDERT
7	SIEBEN
8	ACHT
8.	ACHTE
800	ACHTHUNDERT
9	NEUN
AB SO	AB-SO
ABNEHMEN	SINKEN
ABSO	AB-SO
AB_SO	AB-SO
AKTUELL	JETZT
ALARM	WARNUNG
ALLGÄU	ALLGAEU
AM TAG	AM-TAG
AMTAG	AM-TAG
AM_ABEND	ABEND
AM_NACHMITTAG	NACHMITTAG
AM_TAG	AM-TAG
ANGENEHME	ANGENEHM
ANSCHAÜN	ANSCHAUEN
ANSTEIGEN	STEIGEN
ANSTIEG	STEIGEN
AUFLÖSEN	AUFLOESEN
AUSDEHNEN	VERLAENGERN
BEDECKT	BEWOELKT
BEGRÜSSEN	BEGRUESSEN
BEWÖLKT	BEWOELKT
BODENFROST	FROST
BOEEN	BOEE
BÖE	BOEE
BÖEN	BOEE
DAS IST ES	DAS-IST-ES
DAS WAR ES	DAS-WAR-ES
DASISTES	DAS-IST-ES
DASWARES	DAS-WAR-ES
DAS_IST_ES	DAS-IST-ES
DAS_WAR_ES	DAS-WAR-ES
DAÜR	DAUER
DEN_GANZEN_TAG	GANZTAGS
DERZEIT	JETZT
DREHEN	UMSTELLEN
DUNST	NEBEL
EIN PAAR	EIN-PAAR
EIN PAAR TAGE	EIN-PAAR-TAGE
EIN PAAR-TAGE	EIN-PAAR-TAGE
EINFRIEREN	GEFRIEREN
EINPAAR	EIN-PAAR
EINPAAR-TAGE	EIN-PAAR-TAGE
EINPAARTAGE	EIN-PAAR-TAGE
EIN_PAAR	EIN-PAAR
EIN_PAAR-TAGE	EIN-PAAR-TAGE
EIN_PAAR_TAGE	EIN-PAAR-TAGE
EISGLAETTE	GLATT
EISGLÄTTE	GLATT
EISKALT	KALT
ENTSTEHEN	AUFKOMMEN
ES BEDEUTET	ES-BEDEUTET
ESBEDEUTET	ES-BEDEUTET
ES_BEDEUTET	ES-BEDEUTET
FALLEN	SINKEN
FREÜN	FREUEN
FRISCHER	FRISCH
FROSTIG	FROST
FRUEHMORGENDS	FRUEH
FRÜH	FRUEH
FRÜHMORGENDS	FRUEH
FÜNF	FUENF
FÜNFTE	FUENFTE
FÜNFZEHN	FUENFZEHN
FÜR	FUER
GEFAHRDUNG	RISIKO
GEFRIERT	GEFRIEREN
GELEGENTLICH	MANCHMAL
GEWITTERSTURM	GEWITTER
GEWITTRIG	GEWITTER
GLATTEIS	GLATT
GRAU	TRUEB
GROSSTEILS	UEBERWIEGEND
HAEUFIG	OFT
HAGELSCHAUER	HAGEL
HAUPTSÄCHLICH	HAUPTSAECHLICH
HEISSER	HEISS
HEITER	KLAR
HERANNAHEN	AUFZIEHEN
HERANZIEHEN	AUFZIEHEN
HEUTE NACHT	HEUTE-NACHT
HEUTENACHT	HEUTE-NACHT
HEUTE_NACHT	HEUTE-NACHT
HEUTIG	HEUTE
HITZE	HEISS
HOCHDRUCK	HOCH
HOCHDRUCKGEBIET	HOCH
HÄUFIG	OFT
HÖHE	HOEHE
HÖHER	HOEHER
IM VERLAUF	IM-VERLAUF
IMVERLAUF	IM-VERLAUF
IM_VERLAUF	IM-VERLAUF
IN KOMMEND	IN-KOMMEND
INKOMMEND	IN-KOMMEND
IN_KOMMEND	IN-KOMMEND
JEDEN TAG	JEDEN-TAG
JEDENTAG	JEDEN-TAG
JEDEN_TAG	JEDEN-TAG
KAELTE	KALT
KLEINKOERNIGER_HAGEL	GRAUPEL
KLEINKÖRNIGER_HAGEL	GRAUPEL
KUEHLER	KUEHL
KÄLTE	KALT
KÖLN	KOELN
KÖNNEN	KOENNEN
KÜHL	KUEHL
KÜHLER	KUEHL
KÜSTE	KUESTE
LAU	WARM
LUFTDRUCK	DRUCK
MILDEN	MILD
MILDERE	MILD
MODERAT	MAESSIG
MÄRZ	MAERZ
MÄSSIG	MAESSIG
MÖGLICH	MOEGLICH
MÜSSEN	MUESSEN
NACH NORD	NACH-NORD
NACHNORD	NACH-NORD
NACH_NORD	NACH-NORD
NAECHTLICH	NACHT
NEBLIG	NEBEL
NEG HABEN	NEG-HABEN
NEG IN KOMMEND	NEG-IN-KOMMEND
NEG IN-KOMMEND	NEG-IN-KOMMEND
NEG WAHRSCHEINLICH	NEG-WAHRSCHEINLICH
NEGALP AUCH	NEGALP-AUCH
NEGALP STIMMT	NEGALP-STIMMT
NEGALPAUCH	NEGALP-AUCH
NEGALPSTIMMT	NEGALP-STIMMT
NEGALP_AUCH	NEGALP-AUCH
NEGALP_STIMMT	NEGALP-STIMMT
NEGHABEN	NEG-HABEN
NEGIN-KOMMEND	NEG-IN-KOMMEND
NEGINKOMMEND	NEG-IN-KOMMEND
NEGWAHRSCHEINLICH	NEG-WAHRSCHEINLICH
NEG_HABEN	NEG-HABEN
NEG_IN-KOMMEND	NEG-IN-KOMMEND
NEG_IN_KOMMEND	NEG-IN-KOMMEND
NEG_WAHRSCHEINLICH	NEG-WAHRSCHEINLICH
NIEDERSCHLAG	REGEN
NIESELIG	NIESELREGEN
NIESELN	NIESELREGEN
NOERDLICH	NORD
NORDOESTLICH	NORDOST
NORDWESTLICH	NORDWEST
NORDÖSTLICH	NORDOST
NÄCHSTE	NAECHSTE
NÄCHTLICH	NACHT
NÄHERN	NAEHERN
NÖRDLICH	NORD
OESTLICH	OST
ORKANARTIG	ORKAN
PLÖTZLICH	PLOETZLICH
POSS EUCH	POSS-EUCH
POSS MEIN	POSS-MEIN
POSS SEIN	POSS-SEIN
POSSEUCH	POSS-EUCH
POSSMEIN	POSS-MEIN
POSSSEIN	POSS-SEIN
POSS_EUCH	POSS-EUCH
POSS_MEIN	POSS-MEIN
POSS_SEIN	POSS-SEIN
QÜLL	QUELL
RAR	SELTEN
REGENFALL	REGEN
REGENSCHAUER	SCHAUER
REGNERISCH	REGEN
RHEINLAND PFALZ	RHEINLAND-PFALZ
RHEINLANDPFALZ	RHEINLAND-PFALZ
RHEINLAND_PFALZ	RHEINLAND-PFALZ
RISIKOLAGE	GEFAHR
RUECKLAEUFIG	SINKEN
RÜCKLÄUFIG	SINKEN
SAÜR	SAUER
SCHAU MAL	SCHAU-MAL
SCHAUERARTIG	SCHAUER
SCHAUERREGEN	REGEN
SCHAUMAL	SCHAU-MAL
SCHAU_MAL	SCHAU-MAL
SCHAÜR	SCHAUER
SCHEINT	SCHEINEN
SCHNEEFALL	SCHNEE
SCHNEEREICH	SCHNEE
SCHNEIT	SCHNEIEN
SCHWADEN	WOLKE
SCHWANKEN	VERAENDERN
SCHWERWETTER	UNWETTER
SCHWÜL	SCHWUEL
SCHÖN	SCHOEN
SENKEN	REDUZIEREN
SICH_NAEHERN	NAEHERN
SICH_NÄHERN	NAEHERN
SPÄTER	SPAETER
STRAHLUNG	STRAHLEN
STRÖMEN	STROEMEN
STUERMISCH	STURM
STURMBOEEN	STURM
STURMBÖEN	STURM
STÜRMISCH	STURM
SUEDLICH	SUED
SUEDOESTLICH	SUEDOST
SUEDWESTLICH	SUEDWEST
SÜD	SUED
SÜDLICH	SUED
SÜDOST	SUEDOST
SÜDWEST	SUEDWEST
SÜDWESTLICH	SUEDWEST
SÜDÖSTLICH	SUEDOST
TAGSUEBERWEGS	TAGSUEBER
TAGSÜBER	TAGSUEBER
TAGÜBER	TAGSUEBER
TATSÄCHLICH	TATSAECHLICH
TAUWETTER	TAUEN
TAÜN	TAUEN
THÜRINGEN	THUERINGEN
TIEFDRUCK	TIEF
TIEFDRUCKGEBIET	TIEF
TSCHÜSS	TSCHUESS
UEBERFLUTUNG	UEBERSCHWEMMUNG
UFERUEBERTRITT	HOCHWASSER
UFERÜBERTRITT	HOCHWASSER
UNGEFÄHR	UNGEFAEHR
UNWETTERLAGE	UNWETTER
VARIIEREN	VERAENDERN
VERLÄNGERN	VERLAENGERN
VERÄNDERN	VERAENDERN
VON UNTEN	VON-UNTEN
VONUNTEN	VON-UNTEN
VON_UNTEN	VON-UNTEN
WAERMER	WARM
WEITGEHEND	UEBERWIEGEND
WESTLICH	WEST
WETTERWARNUNG	WARNUNG
WIE AUSSEHEN	WIE-AUSSEHEN
WIE IMMER	WIE-IMMER
WIEAUSSEHEN	WIE-AUSSEHEN
WIEIMMER	WIE-IMMER
WIE_AUSSEHEN	WIE-AUSSEHEN
WIE_IMMER	WIE-IMMER
WINDIG	WIND
WINDSTAERKE	WIND
WINDSTÄRKE	WIND
WOLKEN	WOLKE
WOLKIG	BEWOELKT
WÄRMER	WARM
WÜRTTEMBERG	WUERTTEMBERG
ZEIGEN BILDSCHIRM	ZEIGEN-BILDSCHIRM
ZEIGENBILDSCHIRM	ZEIGEN-BILDSCHIRM
ZEIGEN_BILDSCHIRM	ZEIGEN-BILDSCHIRM
ZUMEIST	MEISTENS
ZUNEHMEN	STEIGEN
ZUR_MITTAGZEIT	MITTAG
ZURÜCK	ZURUECK
ZUSCHAÜR	ZUSCHAUER
ZWEI TAG	ZWEI-TAG
ZWEITAG	ZWEI-TAG
ZWEI_TAG	ZWEI-TAG
ZWISCHEN MITTE	ZWISCHEN-MITTE
ZWISCHENMITTE	ZWISCHEN-MITTE
ZWISCHEN_MITTE	ZWISCHEN-MITTE
ZWÖLF	ZWOELF
ZWÖLFTE	ZWOELFTE
ZÜRST	ZUERST
ÄHNLICH	AEHNLICH
ÖSTLICH	OST
ÜBER	UEBER
ÜBERALL	UEBERALL
ÜBERFLUTUNG	UEBERSCHWEMMUNG
ÜBERSCHWEMMUNG	UEBERSCHWEMMUNG
ÜBERWIEGEND	UEBERWIEGEND
